match_id,map_number,map_name,team1,team1_ct_half,team1_t_half,team1_ot,team2,team2_ct_half,team2_t_half,team2_ot,team1_total,team2_total
2389797,1,Dust2,ShindeN,9,3,0,Crashers,4,0,0,12,4
2389797,2,Nuke,ShindeN,8,4,0,Crashers,5,0,0,12,5
2390093,1,Mirage,BIG EQUIPA,9,3,0,Let Her Cook,4,2,0,12,6
2390093,2,Inferno,BIG EQUIPA,3,9,9,Let Her Cook,3,4,1,21,8
2389852,1,Overpass,Phantom,5,7,7,VP.Prodigy,5,10,7,19,22
2389852,2,Nuke,Phantom,4,8,0,VP.Prodigy,5,5,0,12,10
2389852,3,Dust2,Phantom,4,8,0,VP.Prodigy,6,5,0,12,11
2390141,1,Ancient,BOSS,4,8,8,Fisher College,4,7,4,20,15
2390141,2,Inferno,BOSS,5,7,0,Fisher College,8,3,0,12,11
2390014,1,Nuke,CSDIILIT,7,5,0,Oxuji,6,4,0,12,10
2390014,2,Mirage,CSDIILIT,3,9,0,Oxuji,0,4,0,12,4
2390014,3,Ancient,CSDIILIT,7,5,0,Oxuji,6,5,0,12,11
2390142,1,Dust2,Voca,9,3,0,SportsBetExpert,4,1,0,12,5
2390142,2,Ancient,Voca,11,1,0,SportsBetExpert,2,2,0,12,4
2389796,1,Dust2,Bad Luck,6,6,0,GameHunters,2,7,0,12,9
2389796,2,Inferno,Bad Luck,7,5,0,GameHunters,4,8,0,12,12
2390092,1,Ancient,Pigeons,8,4,0,Peekaboo,5,3,0,12,8
2390092,2,Dust2,Pigeons,8,4,0,Peekaboo,5,1,0,12,6
2390013,1,Overpass,TDK,8,4,0,Atreides,5,7,0,12,12
2390013,2,Mirage,TDK,6,6,0,Atreides,7,5,0,12,12
2389795,1,Dust2,ex-KRÜ,10,2,0,BESTIA Academy,3,6,0,12,9
2389795,2,Nuke,ex-KRÜ,8,4,0,BESTIA Academy,5,5,0,12,10
2390012,1,Inferno,Pigeons,3,9,0,Ursa,3,4,0,12,7
2390012,2,Mirage,Pigeons,3,9,0,Ursa,3,4,0,12,7
2389850,1,Dust2,Acend,9,3,0,ex-Zero Tenacity,4,0,0,12,4
2389850,2,Inferno,Acend,8,4,0,ex-Zero Tenacity,5,2,0,12,7
2390161,1,Overpass,ex-FUT Academy,4,8,0,VP.Prodigy,7,5,0,12,12
2390161,2,Inferno,ex-FUT Academy,4,8,0,VP.Prodigy,0,5,0,12,5
2390011,1,Mirage,PRIME,3,9,0,HyperSpirit,0,4,0,12,4
2390011,2,Anubis,PRIME,4,8,0,HyperSpirit,9,3,0,12,12
2390011,3,Dust2,PRIME,5,7,0,HyperSpirit,6,6,0,12,12
2389849,1,Inferno,Metizport,10,2,2,Lazer Cats,10,4,1,14,15
2389849,2,Ancient,Metizport,6,6,0,Lazer Cats,7,4,0,12,11
2390178,1,Nuke,FlyQuest RED,6,6,0,F5,1,7,0,12,8
2390178,2,Ancient,FlyQuest RED,5,7,7,F5,5,10,8,19,23
2390178,3,Mirage,FlyQuest RED,4,8,0,F5,6,5,0,12,11
2390177,1,Inferno,Outfit 49,9,3,0,Blitzkrieg,4,1,0,12,5
2390177,2,Dust2,Outfit 49,5,7,0,Blitzkrieg,8,3,0,12,11
2390173,1,Dust2,LAG,9,3,0,Chicken Coop,4,1,0,12,5
2390173,2,Nuke,LAG,6,6,0,Chicken Coop,7,5,0,12,12
2390140,1,Mirage,Fisher College,6,6,6,Wildcard,6,7,10,18,23
2390140,2,Nuke,Fisher College,6,6,0,Wildcard,1,7,0,12,8
2390139,1,Mirage,Passion UA,8,4,0,SportsBetExpert,5,1,0,12,6
2390139,2,Overpass,Passion UA,9,3,0,SportsBetExpert,4,0,0,12,4
2390175,1,Ancient,Aether,2,10,0,Zomblers,4,3,0,12,7
2390175,2,Inferno,Aether,3,9,0,Zomblers,2,4,0,12,6
2389764,1,Inferno,Marsborne,6,6,0,Rave,7,1,0,12,8
2389764,2,Ancient,Marsborne,10,2,0,Rave,3,5,0,12,8
2390179,1,Nuke,Sakura,2,10,0,InControl,2,3,0,12,5
2390179,2,Overpass,Sakura,4,8,8,InControl,4,1,4,20,9
2390138,1,Nuke,Rave,7,5,5,Voca,7,0,4,17,11
2390137,1,Mirage,mouse,4,8,0,BOSS,6,5,0,12,11
2390137,2,Inferno,mouse,7,5,0,BOSS,2,8,0,12,10
2389794,1,Mirage,ShindeN,4,8,0,Vasco,5,5,0,12,10
2389794,2,Dust2,ShindeN,5,7,0,Vasco,4,6,0,12,10
2390091,1,Mirage,Let Her Cook,7,5,0,hindsight,6,4,0,12,10
2390091,2,Ancient,Let Her Cook,7,5,5,hindsight,7,4,7,17,18
2390091,3,Anubis,Let Her Cook,10,2,0,hindsight,3,2,0,12,5
2389793,1,Nuke,Fake do Biru,8,4,0,Bad Luck,5,7,0,12,12
2389793,2,Anubis,Fake do Biru,6,6,0,Bad Luck,4,7,0,12,11
2389793,3,Overpass,Fake do Biru,8,4,0,Bad Luck,5,0,0,12,5
2390134,1,Mirage,SportsBetExpert,4,8,0,BOSS,9,3,0,12,12
2390134,2,Nuke,SportsBetExpert,6,6,0,BOSS,7,1,0,12,8
2390114,1,Nuke,BASEMENT BOYS,3,9,0,CYBERSHOKE,0,4,0,12,4
2390114,2,Dust2,BASEMENT BOYS,2,10,0,CYBERSHOKE,1,3,0,12,4
2390133,1,Mirage,Passion UA,10,2,0,mouse,3,3,0,12,6
2390133,2,Nuke,Passion UA,7,5,0,mouse,6,1,0,12,7
2390010,1,Mirage,BRUTE,7,5,0,home,6,2,0,12,8
