match_id,match_url,team1,team2,score1,score2,maps_played,map_names,bo_format,event,date,winner
2390144,https://www.hltv.org/matches/2390144/voca-vs-boss-iem-atlanta-2026-americas-closed-qualifier,Voca,BOSS,2,1,3,Nuke|Mirage|Dust2,BO3,IEM Atlanta 2026 Americas Closed Qualifier,11th of February 2026,Voca
2390129,https://www.hltv.org/matches/2390129/ence-vs-fnatic-iem-atlanta-2026-closed-qualifier,ENCE,fnatic,1,2,3,Ancient|Overpass|Anubis,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,fnatic
2390128,https://www.hltv.org/matches/2390128/johnny-speeds-vs-sinners-iem-atlanta-2026-closed-qualifier,Johnny Speeds,SINNERS,0,3,3,Inferno|Dust2|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,SINNERS
2390125,https://www.hltv.org/matches/2390125/fnatic-vs-bet-m-iem-atlanta-2026-closed-qualifier,fnatic,BET-M,1,2,3,Ancient|Dust2|Inferno,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,BET-M
2390124,https://www.hltv.org/matches/2390124/betboom-vs-sinners-iem-atlanta-2026-closed-qualifier,BetBoom,SINNERS,2,1,3,Dust2|Mirage|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,BetBoom
2390127,https://www.hltv.org/matches/2390127/ence-vs-alliance-iem-atlanta-2026-closed-qualifier,ENCE,Alliance,2,1,3,Mirage|Overpass|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,ENCE
2390126,https://www.hltv.org/matches/2390126/inner-circle-vs-johnny-speeds-iem-atlanta-2026-closed-qualifier,Inner Circle,Johnny Speeds,0,3,3,Overpass|Dust2|Mirage,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,Johnny Speeds
2389851,https://www.hltv.org/matches/2389851/favbet-vs-los-kogutos-cct-season-3-europe-series-15,FAVBET,los kogutos,2,1,3,Dust2|Nuke|Anubis,BO3,CCT Season 3 Europe Series 15,11th of February 2026,FAVBET
2390122,https://www.hltv.org/matches/2390122/alliance-vs-og-iem-atlanta-2026-closed-qualifier,Alliance,OG,2,1,3,Overpass|Ancient|Inferno,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,Alliance
2390121,https://www.hltv.org/matches/2390121/johnny-speeds-vs-k27-iem-atlanta-2026-closed-qualifier,Johnny Speeds,K27,2,1,3,Overpass|Dust2|Mirage,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,Johnny Speeds
2390120,https://www.hltv.org/matches/2390120/cybershoke-vs-inner-circle-iem-atlanta-2026-closed-qualifier,CYBERSHOKE,Inner Circle,0,3,3,Dust2|Mirage|Anubis,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,Inner Circle
2390123,https://www.hltv.org/matches/2390123/ence-vs-eyeballers-iem-atlanta-2026-closed-qualifier,ENCE,EYEBALLERS,2,1,3,Nuke|Mirage|Dust2,BO3,IEM Atlanta 2026 Closed Qualifier,11th of February 2026,ENCE
2390118,https://www.hltv.org/matches/2390118/og-vs-nemesis-iem-atlanta-2026-closed-qualifier,OG,Nemesis,2,1,3,Inferno|Ancient|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,OG
2390117,https://www.hltv.org/matches/2390117/inner-circle-vs-bet-m-iem-atlanta-2026-closed-qualifier,Inner Circle,BET-M,1,2,3,Ancient|Dust2|Mirage,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,BET-M
2390119,https://www.hltv.org/matches/2390119/tricked-vs-eyeballers-iem-atlanta-2026-closed-qualifier,Tricked,EYEBALLERS,1,2,3,Overpass|Ancient|Mirage,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,EYEBALLERS
2390136,https://www.hltv.org/matches/2390136/wildcard-vs-voca-iem-atlanta-2026-americas-closed-qualifier,Wildcard,Voca,2,1,3,Mirage|Dust2|Overpass,BO3,IEM Atlanta 2026 Americas Closed Qualifier,10th of February 2026,Wildcard
2390116,https://www.hltv.org/matches/2390116/fnatic-vs-k27-iem-atlanta-2026-closed-qualifier,fnatic,K27,2,1,3,Dust2|Mirage|Overpass,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,fnatic
2390113,https://www.hltv.org/matches/2390113/alliance-vs-sinners-iem-atlanta-2026-closed-qualifier,Alliance,SINNERS,0,3,3,Overpass|Mirage|Inferno,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,SINNERS
2389848,https://www.hltv.org/matches/2389848/genone-vs-whitebird-cct-season-3-europe-series-15,GenOne,WHITEBIRD,0,3,3,Overpass|Dust2|Ancient,BO3,CCT Season 3 Europe Series 15,10th of February 2026,WHITEBIRD
2390115,https://www.hltv.org/matches/2390115/johnny-speeds-vs-nuclear-tigeres-iem-atlanta-2026-closed-qualifier,Johnny Speeds,Nuclear TigeRES,2,1,3,Inferno|Nuke|Dust2,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,Johnny Speeds
2390110,https://www.hltv.org/matches/2390110/inner-circle-vs-tricked-iem-atlanta-2026-closed-qualifier,Inner Circle,Tricked,2,1,3,Anubis|Ancient|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,Inner Circle
2390111,https://www.hltv.org/matches/2390111/bet-m-vs-eyeballers-iem-atlanta-2026-closed-qualifier,BET-M,EYEBALLERS,2,1,3,Ancient|Dust2|Inferno,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,BET-M
2390112,https://www.hltv.org/matches/2390112/betboom-vs-ence-iem-atlanta-2026-closed-qualifier,BetBoom,ENCE,2,1,3,Nuke|Ancient|Dust2,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,BetBoom
2390109,https://www.hltv.org/matches/2390109/nemesis-vs-k27-iem-atlanta-2026-closed-qualifier,Nemesis,K27,0,3,3,Ancient|Dust2|Nuke,BO3,IEM Atlanta 2026 Closed Qualifier,10th of February 2026,K27
